wallet_address	name	tag
146yGthSmnTPuCo6Zfbmr56YbAyWZ3rzAhRcT7tTF5ha	Coinbase	exchange_wallet
22Wnk8PwyWZV7BfkZGJEKT9jGGdtvu7xY6EXeRh7zkBa	Crypto.com	exchange_wallet
28nYGHJyUVcVdxZtzKByBXEj127XnrUkrE3VaGuWj1ZU	Ceffu	exchange_wallet
29wUEjNoAG6Jv93ctmqxRRANZqeaheeDLJqKkVPQi14t	Upbit	exchange_wallet
2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm	Coinbase	exchange_wallet
2E1UKoiiZPwsp4vn6tUh5k61kG2UqYpT7oBrFaJUJXXd	SwissBorg	exchange_wallet
2Kr5MG6mkBXWUGXkYVJxmgSR5sLaFmkkHGEQDUujmNKS	Blockchain.com	exchange_wallet
2PoMLnppbphUWkNReF15BJ4a6c4B348GnStSEv9tFsY1	Coinbase	exchange_wallet
2YERiDP8JqbmKDDUhPQtEfWozafQm1cdwi6KrmYo2app	Upbit	exchange_wallet
2h8JJq1kAsJvKYVrsEqwhQTcy99p465esHUFcJA94QY2	Bitvavo	exchange_wallet
2hZyBdWzempMnbXoUK4yBGDeYyjd7sVgPM2cxrWFza8p	Razed	exchange_wallet
2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC	Changenow	exchange_wallet
2kmT6TAgwy2aPt4wtiSmmosyTZ8kVRSXwXxtbgJ8QfLM	Upbit	exchange_wallet
2nE99H3e9gfbxKaGodnTwixMgZwgTtKg45aoCFwdEfJS	Upbit	exchange_wallet
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S	Binance	exchange_wallet
2snHHreXbpJ7UwZxPe37gnUNf7Wx7wv6UKDSR2JckKuS	Debridge	exchange_wallet
2zSrPoPCpJAypmdjmuSwbsx9RAqTRJCiRXCnQkUkN9rj	Upbit	exchange_wallet
33sN6GeTukyyfp4WqUD7NauTHo1xKfFPrHuudz31GXaA	Upbit	exchange_wallet
3B7XAQrLoEMDEGvX8569F9GRb9PcXXocJmj5wvhhei9z	BtcTurk	exchange_wallet
3Ki4GvAZRTdA8M4CCQL6LwD4BY5dRhMworHmXLVxxY5f	Tapbit	exchange_wallet
3XxnAURKbUfUc881Rw5tsXCkhRUHM5uDiEy7KSt1G488	DigiFinex	exchange_wallet
3gd3dqgtJ4jWfBfLYTX67DALFetjc5iS72sCgRhCkW2u	Binance 10	exchange_wallet
3huamNpghPSPbgQSLX56B18Sj1hq5SE4KGxwTvhwJGnC	Arkham	exchange_wallet
3jn81xbBK95zf5A1K4jRMzTicWxKM6X8BzYWzhPtFjuF	Upbit	exchange_wallet
3oZxURCVerpPDynp5H1b2EWHzqvSbgjtcALcVytynRFK	Upbit	exchange_wallet
3pjwKq9yuzpVYfD4h5jMZLLfV8oSd8YiwpoAaB5oZS3H	Ourbit	exchange_wallet
3qP77PzrHxSrW1S8dH4Ss1dmpJDHpC6ATVgwy5FmXDEf	Coinbase	exchange_wallet
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom	Coinbase	exchange_wallet
3yFwqXBfZY4jBVUafQ1YEXw189y2dN3V5KQq9uzBDy1E	Binance	exchange_wallet
3yHvm5kFrEqYURBekXAXEpEWggpb8q51VRWDZtjZRQpT	Rapira	exchange_wallet
41uCv6a1JPwZT4pDAN4AGvPosHVx2ndkNFEFgKLzd5wx	XT.com	exchange_wallet
42brAgAVNzMBP7aaktPvAmBSPEkehnFQejiZc53EpJFd	Bybit	exchange_wallet
43DbAvKxhXh1oSxkJSqGosNw3HpBnmsWiak6tB5wpecN	Backpack	exchange_wallet
44P5Ct5JkPz76Rs2K6juC65zXMpFRDrHatxcASJ4Dyra	Wintermute	exchange_wallet
4DgunMfBb19GaMZ1Z48oqcymZ4eBA4v5SUdRnapzj66G	Coinsquare	exchange_wallet
4FDKx3S3k9eD7HeAhjQxHeYNLXHtreCD1GTUWktiYUvR	Wintermute	exchange_wallet
4GC3a1RkRXx5shwGP8pTY6cxXgSWkbfc66vM53a6qSKj	CoinSpot	exchange_wallet
4pHKEisSmAr5CSump4dJnTJgG6eugmtieXcUxDBcQcG5	Coinbase	exchange_wallet
53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr	Binance	exchange_wallet
57vSaRTqN9iXaemgh4AoDsZ63mcaoshfMK8NP3Z5QNbs	Kucoin	exchange_wallet
59L2oxymiQQ9Hvhh92nt8Y7nDYjsauFkdb3SybdnsG6h	Coinbase	exchange_wallet
5F1seMKUqSNhv45f6FhB2cFmgJbk8U1avJw7M6TexUq1	Moonpay	exchange_wallet
5HQZd9ovzAF1TLnHRAq1zcSnXC9HAp3EwhoxMHvo8rxB	Rainbet	exchange_wallet
5NwbN8fCaVED6aHUvAVm5BFi9Kapfvoemw5gvX4Y3PnG	Upbit	exchange_wallet
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5	MEXC	exchange_wallet
5SDrsMNTYdhmApjfqYHDvjoW92f2S42vcc7zNDVcQ9Ej	Ceffu	exchange_wallet
5VCwKtCXgCJ6kit5FybXjvriW3xELsFDhYrPSqtJNmcD	OKX	exchange_wallet
5Xm6nU1Bi6UewCrhJQFk1CAV97ZJaRiFw4tFNhUbXy3u	Alameda Research	exchange_wallet
5cLi5RaZ6MN14rC4KJNygDnenyEyfqQat8Tcm9DfAPo9	TG.Casino	exchange_wallet
5dSArCafNYy3AhWYMAY7VT7greBYzsJ4TDfU7jyESBB8	Bitvavo	exchange_wallet
5kuefsvsowE6Sty2PEGJUjjZ4M9UqezCW1zcx67AjzMX	Firi	exchange_wallet
5ndLnEYqSFiA5yUFHo6LVZ1eWc6Rhh11K5CfJNkoHEPs	Fixedfloat	exchange_wallet
5sTQ5ih7xtctBhMXHr3f1aWdaXazWrWfoehqWdqWnTFP	Wintermute	exchange_wallet
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9	Binance	exchange_wallet
5z7gxL5u4jCW9D6acu28LEw4RKTiBSG1EmXbtCX7efg2	Revolut	exchange_wallet
6DGBBq2JFb3Lt3NWWAE5FC36B9489H6dg6zae9jxLSkf	Upbit	exchange_wallet
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy	Crypto.com	exchange_wallet
6H56d5EH5kWYHyTcRz7Skb1VbBQuQ6k5gwkQwFSLSJCE	WOO	exchange_wallet
6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF	Kraken	exchange_wallet
6LzKPJ1Y6wdYTLfGDxe9WwoKpwAVMLHwXxmQpRgdD6ng	Coinbase	exchange_wallet
6QJzieMYfp7yr3EdrePaQoG3Ghxs2wM98xSLRu8Xh56U	Binance	exchange_wallet
6VGNcrNuhwCwWZDQoA9QoyJxKtb4FEGLnieScUnLbeKJ	Upbit	exchange_wallet
6aGCDGHahjF9uW9qJFJabbyMoEk8STfXgdDpptnUFUcf	Upbit	exchange_wallet
6b4aypBhH337qSzzkbeoHWzTLt4DjG2aG8GkrrTQJfQA	FTX	exchange_wallet
6brjeZNfSpqjWoo16z1YbywKguAruXZhNz9bJMVZE8pD	Robinhood	exchange_wallet
6dUaYX9Z6aQPY66BgD4yzu1saifGAZLrhQqF9BugJxJ1	Cobo.com	exchange_wallet
6mearRPb9Bma9Ad9wCKnGtVbTeqDyZQ6PPxDRpBUNdJU	Upbit	exchange_wallet
6qbzTgBcu7xtoQBrhnPdfCbDxKhWpDhn4vtc3Cbse75W	Chainup Custody	exchange_wallet
73BCsWDxqNbXgnjHKqZPtN5buGpzF4SNGf4ueP44D4v2	Weex	exchange_wallet
76iXe9yKFDjGv3HicUVVy8AYxHLC71L1wYa12zaZzHHp	Shuffle.com	exchange_wallet
78TDoKGTeS7RRoqUrSijS1QVFVmxJvwE2NxYicHFHh3N	Hotcoin	exchange_wallet
79xFArDVvZMU7uvLgAPFKB3hT2vUCCoytmxsrxyx5oBJ	Upbit	exchange_wallet
7BCp5XUXtKzZWYCvGR2fzFqoyKiJ7ozN8eCEHscpSMnB	BigONE	exchange_wallet
7DyZQw3iV5zhHssnNA6Nopi5zc8NGLbYjHMcaok6NN66	Allbridge	exchange_wallet
7RmkMNQerKaVioRnmqZsHM5Gm8F3gngQG8umLNoK97q4	Bitrue	exchange_wallet
7UhjbynicBP8rqcobwsAJDfRMjwgHSgdxcYNJmLwxfms	Ourbit	exchange_wallet
7ks326H4LbMVaUC8nW5FpC5EoAf5eK5pf4Dsx4HDQLpq	Bloxroute	exchange_wallet
7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5	Upbit	exchange_wallet
7sMiW38oLg5q9SKNoyPaH2Ee1VhpGdMCDrC4Lo4uLBBE	Wintermute	exchange_wallet
836euAuAeEWdjHFZ87vKhR6n4Vu1V22yMvj1MyzCdVU3	Upbit	exchange_wallet
85cPov8nuRCkJ88VNMcHaHZ26Ux85PbSrHW4jg7izW4h	Coinbase	exchange_wallet
8JWVtS21nfQddQR5thDQ8bL5ykHKAGLcYSdR3uQqBvoG	CoinW	exchange_wallet
8Mm46CsqxiyAputDUp2cXHg41HE3BfynTeMBDwzrMZQH	Bithumb	exchange_wallet
8SiWXTpcTUovS2LxCvxcPdTnS5f5CCYjzmNRmB1JVEJo	Alameda Research	exchange_wallet
8Tp9fFkZ2KcRBLYDTUNXo98Ez6ojGb6MZEPXfGDdeBzG	Robinhood	exchange_wallet
8YxUm2CgA67gSxu3Vdeij1cEpfbVRurCFHQnUC2sytFz	Betpanda	exchange_wallet
8jjpnSUhm5UYghznhcdkwwEUFyke6z5TchHEtUUgW8hX	Upbit	exchange_wallet
8mQnMuApYmNouGvj9wVL2Sh21DFsrzb3sbbFL3rUHXr5	Coinbase	exchange_wallet
8mowmVCEewZ9W2cEaQyQeQEeSxhGr1hvRviLwozwNtBt	Whitebit	exchange_wallet
8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf	Phantom	exchange_wallet
8s9j5qUtuE9PGA5s7QeAXEh5oc2UGr71pmJXgyiZMHkt	LBank	exchange_wallet
8vfXiUAfrpR8N2pceMc1ttruMS6AUurcjPXJkXuuNr9c	Bitvavo	exchange_wallet
94xmX5J92nZLanLvRstmxhgiS8kN8SVfFQ2zPKYB3Ynb	Blofin	exchange_wallet
97UQvPXbadGSsVaGuJCBLRm3Mkm7A5DVJ2HktRzrnDTB	BC.Game	exchange_wallet
9D8xSHWqF9NJWqCtn3rNxYEox63aCbWxYzTMfMur7Cc9	Bitstamp	exchange_wallet
9FtGm6hJULCpA8An4sFg5ysHUExDZBtMeDCxsYnTnWh5	Robinhood	exchange_wallet
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM	Binance	exchange_wallet
9YFeuz8q9WMSJpeNhNHj6LSbZnQ6BvDt5u9CV2ALhPWv	Mayan Bridge	exchange_wallet
9bc61xemFMSZBsQZp59zQppw3sGXrPhRkxrdVBtip6om	Robinhood	exchange_wallet
9cNE6KBg2Xmf34FPMMvzDF8yUHMrgLRzBV3vD7b1JnUS	Kraken	exchange_wallet
9obNtb5GyUegcs3a1CbBkLuc5hEWynWfJC6gjz5uWQkE	Coinbase	exchange_wallet
9un5wqE3q4oCjyrDkwsdD48KteCJitQX5978Vh7KKxHo	OKX	exchange_wallet
9uyDy9VDBw4K7xoSkhmCAm8NAFCwu4pkF6JeHUCtVKcX	FTX	exchange_wallet
A5ANHizfayJUDBSwV5Cm7CNXCj6E6AAda49wzzdYPons	Deribit	exchange_wallet
A5QtrjyeJLZ62HqSZAmiqAboiBJZX3eQbCe4QSLBGXXN	Upbit	exchange_wallet
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR	Bitget	exchange_wallet
A91CNAHMvkCVUZXJSnGiaqCgoR3DeJUCMdXQjkvhK7xH	Upbit	exchange_wallet
AC3ZS3XoCf5omwaqD3rxbDC5JWNK87Xo1DH6zsBhycEw	M2 Exchange	exchange_wallet
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2	Bybit	exchange_wallet
AFKxebx96mnt1yn1ek6mcxeGDHmfrAWzo2h1fVdrrvWE	Moonpay	exchange_wallet
ALBZGHCfB8v7geJBRs1rmajHBgqrhEnXdQwzmvsENCKY	LBank	exchange_wallet
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ	MEXC	exchange_wallet
AUNpkzaTMWzEoRkuywD3g5povZpC1tvDafwNVQHNkFtH	WOO	exchange_wallet
AeBwztwXScyNNuQCEdhS54wttRQrw3Nj1UtqddzB4C7b	Robinhood	exchange_wallet
AgsYPSd9jQZEpbTMsvBWKdiAux3eyghdSY355QVHH9Hs	FalconX	exchange_wallet
Ahgd7ZczsP6XcWuhsF1Hn7i9W31uHMMPkmffrALL7ers	Upbit	exchange_wallet
AoBG26bUDJogWVR5HEt8qUzXpRUnPJRCeM2r4rQXKNtR	Lucky Block	exchange_wallet
AobVSwdW9BbpMdJvTqeCN4hPAmh4rHm7vwLnQ5ATSyrS	Crypto.com	exchange_wallet
AposS2QBW5NZ2i3WNbsHVxTJa5CJGfKHJSVfiX3FYQfh	Dex-Trade	exchange_wallet
ArCyjcg4H61XPbsvKGLJJjtn34HVQaWYZKLgJS15v9G2	Solcasino	exchange_wallet
AwiguNn4m6Z3qeeXoiF2cMcAEqs4nu7zBU611E3iTsmH	Uphold	exchange_wallet
AzAvbCQsXurd2PbGLYcB61tyvE8kLDaZShE1S5Bp3WeS	Coinbase	exchange_wallet
BA7UdvSVywRisn8YLMpg6emrNNk3N3TFqSrKJXmTBKdt	BtcTurk	exchange_wallet
BY4StcU9Y2BpgH8quZzorg31EGE4L1rjomN8FNsCBEcx	HTX	exchange_wallet
BYLe7wEg6bnZL3bgqTnh8HFzJ4xg2DcVPGeBg3nhvqYV	Upbit	exchange_wallet
BZ3kabSsMzbuJUguYxtmkRtzw7ACqw1DUMH8PcbvXiUr	Ceffu	exchange_wallet
BbHG9GvPActFGogv3iNrpDAj4qpXr8t3jF16uGxXcKci	Backpack Exchange 1	exchange_wallet
Biw4eeaiYYYq6xSqEd7GzdwsrrndxA8mqdxfAtG3PTUU	Revolut	exchange_wallet
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6	Kucoin	exchange_wallet
BmGyWBMEcjJD7JQD1jRJ5vEt7XX2LyVvtxwtTGV4N1bp	Coinbase	exchange_wallet
BrGihgGjCmpu2p96rou6GQj3sQpwgeud937jf4RvZP9G	Bridgers	exchange_wallet
C6uq3kFSMDwudLR2ecaWduDYviWEWiJiag7F6A93FyDL	Manifold Trading	exchange_wallet
CKy3KzEMSL1PQV6Wppggoqi2nGA7teE4L7JipEK89yqj	Coinbase	exchange_wallet
Cc3bpPzUvgAzdW9Nv7dUQ8cpap8Xa7ujJgLdpqGrTCu6	Moonpay	exchange_wallet
CgANddXc7FKSsdLSdFv67X8faZqQaRTeLMXkAVANkZD4	Bitmart	exchange_wallet
CqLu65KkFvGi3DUrR9o9aUC4LP2yUywFHZn8WoNLNVgy	Bitkub	exchange_wallet
CuieVDEDtLo7FypA9SbLM9saXFdb1dsshEkyErMqkRQq	Alameda Research	exchange_wallet
D5LmzoS7PXmT8oMVpSY1iSk1bZD2XLsc9nE5rSmwvyuQ	Bithumb	exchange_wallet
D5jx4wmxuPz18hqmgpCMLGVq3uSksCafCp5xjVe1nw8p	Coinex	exchange_wallet
D6gCBB3CZEMNbX1PDr3GtZAMhnebEumcgJ2yv8Etv5hF	Coinbase	exchange_wallet
D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf	Coinbase	exchange_wallet
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd	KuCoin: Cold Wallet	exchange_wallet
DBmae92YTQTLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd	Kucoin	exchange_wallet
DLB7iedsLUjUSHtnrtAtNLh1pobPxd3FP3Jh4LWojK8a	Firi	exchange_wallet
DLY8RdtrGELZh7Dnmf1tm99sfcXh6KdMtgjgRD1m1uQ7	Bitstamp	exchange_wallet
DPqsobysNf5iA9w7zrQM8HLzCKZEDMkZsWbiidsAt1xo	Coinbase	exchange_wallet
DTLR1QKfH3QWLDm3wkRZqxiH1NQSH4szWxTjGqHCQQSa	Blofin	exchange_wallet
DTNnXBh7JcKTzfWbqcuNYaYBQXS2fWWoXEdJ5iyNwvFX	Bitstamp	exchange_wallet
DZCRUwbHSoQEBxkEug5CiTED2qCz32a4FqSLSqtxPhaz	Bitvavo	exchange_wallet
DhcjTJtSetjsDE2XXEK4tmxMxxt2UxDR5npbvHDaEafa	Zonda	exchange_wallet
E1tkWncjvQy617vieo9EBWi6bFAFKLkeBRcJvXxTLzNx	Uphold	exchange_wallet
EW2PNV4agoVMcRo9KsQuppwDjoaYqxRPSt1h3EDJyF1	Upbit	exchange_wallet
EdZL7gAGy13ykLDhdqQb1EG1Xje7xVRbBGC567p9qchF	Upbit	exchange_wallet
EjtCjDWj3HyL1a4dRritZLTtZrwvD3E1AAzp6evMUmVB	Indodax	exchange_wallet
EqfdXQTL9r8yzjgeTx3nceJBxH3gAMBjiQrUzsf6oRhx	Bithumb	exchange_wallet
F4C34HorTSr8C7Zmwj8Kdrbmq5XjV9d8iJywp74L8sZf	Coinbase	exchange_wallet
F7RkX6Y1qTfBqoX5oHoZEgrG1Dpy55UZ3GfWwPbM58nQ	Kraken	exchange_wallet
F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe	Mayan Bridge	exchange_wallet
FUKB7YPxP3vVQ4nry7LAzFcyUqPvswH6ciyRoReUYm7f	Coinbase	exchange_wallet
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5	Kraken	exchange_wallet
FavWP1KXVVNZLTYjfSBWPanxbVeCW4A3pJ96hn2GRWGR	Probit	exchange_wallet
Fe7SEekiKygziaEGKxsDsgLVzrCfNvVBvAYsaJBwFA8s	SwissBorg	exchange_wallet
FgQygQyFJ5SB8idVQcee6v1uGoQbJMyVhW8BFPTAEpat	Flipster	exchange_wallet
FixDET3jRBMjT9M69Wim8iRpMQiJHkSSfD7wivStuuph	Bitvavo	exchange_wallet
FpwQQhQQoEaVu3WU2qZMfF1hx48YyfwsLoRgXG83E99Q	Coinbase	exchange_wallet
Ftta5S8NEDBWQi13MyAra7USyewf2piPyajsUyk8TFKj	Ox.fun	exchange_wallet
FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a	Bitfinex	exchange_wallet
FyJBKcfcEBzGN74uNxZ95GxnCxeuJJujQCELpPv14ZfN	Bitfinex	exchange_wallet
FzZ77TM8Ekcb6gyWPmcT9upWkAZKZc5xrYfuFu7pifPn	Mayan Bridge	exchange_wallet
G2YxRa6wt1qePMwfJzdXZG62ej4qaTC7YURzuh2Lwd3t	Changenow	exchange_wallet
G6zmnfSdG6QJaDWYwbGQ4dpCSUC4gvjfZxYQ4ZharV7C	Coinbase	exchange_wallet
G7vNg68KfbjVLCTc8Uw9JVmaC4ZajpX97ApkToBqvviy	Binance	exchange_wallet
G9X7F4JzLzbSGMCndiBdWNi5YzZZakmtkdwq7xS3Q3FE	Stake	exchange_wallet
GBrURzmtWujJRTA3Bkvo7ZgWuZYLMMwPCwre7BejJXnK	Binance	exchange_wallet
GJRs4FwHtemZ5ZE9x3FNvJ8TMwitKTh21yxdRPqn7npE	Coinbase	exchange_wallet
GXTrXayxMJUujsRTxYjAbkdbNvs6u2KN89UpG8f6eMAg	Coinbase	exchange_wallet
GtxgnRiSfBzahR9xb7hvYbWq3Uzez7hpCz2BJbCLxKdq	Jump Crypto	exchange_wallet
GzHZpVPqDLK7sV6cFskSC4qaDzYWYryhf51VoFPtUvfz	Coinbase	exchange_wallet
GzeZm4Lwf2x9JPvtcDiguCJS8Vk59cxii9qs7zk7ETC5	Weex	exchange_wallet
H13inzihSqSgfhHrGXNcrhMPzZmp73Mjs1tu8PrnFN7K	Bithumb	exchange_wallet
H2PVM96jQomH864kZAAxRMFBZaHbdKQG2iG21v52jRxF	Uphold	exchange_wallet
H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS	Coinbase	exchange_wallet
HBxZShcE86UMmF93KUM8eWJKqeEXi5cqWCLYLMMhqMYm	Bitstamp	exchange_wallet
HGWxDDvejMPPCe2T5oREFiRBmUW6pWoDZT8y2iLtWSiN	Bitvavo	exchange_wallet
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt	Kucoin	exchange_wallet
HWEoBxYs7ssKuudEjzjmpfJVX7Dvi7wescFsVx2L5yoY	Bloxroute	exchange_wallet
HiRpdAZifEsZGdzQ5Xo5wcnaH3D2Jj9SoNsUzcYNK78J	Gate.io	exchange_wallet
Hn7qzjdWKpFfJNAf1CvxgfRNWST2xB42g21KpUaD7QbP	Btse	exchange_wallet
HtJAWMsSRXbyBvXm1F4PDnGFzhgfBAPciyHWMZgugejX	Alameda Research	exchange_wallet
JBNKvFeC53r87fTBE7bRGZ9r1z5i6kws7m6VUXr1ZVUw	Upbit	exchange_wallet
K1c4Q9cH3cSfu64wCwLCuaaxmN54E2g2jPi3rQMj8re	Cumberland	exchange_wallet
MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa	Wintermute	exchange_wallet
RBHdGVfDfMjfU6iUfCb1LczMJcQLx7hGnxbzRsoDNvx	Rollbit	exchange_wallet
VTvk7sG6QQ28iK3NEKRRD9fvPzk5pKpJL2iwgVqMFcL	Coinbase	exchange_wallet
WR87TKyUfMDzGojFvRxq2f1xf7Jcgkvoc7Z2tDVLHdY	Upbit	exchange_wallet
ZfctMHBkZNTqeYGE47ekxtydgXgpo9xKJCAasjaCLTU	Bridgers	exchange_wallet
faczL4zr9Ss5U3sN829LgykeUZQ8BiNqkXPub6nUSHe	Rapira	exchange_wallet
i57ExrKB2i4mSgjSuq2xz617mQXmu33WG2WEYypmdvX	Bitstamp	exchange_wallet
iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu	Bybit	exchange_wallet
is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV	OKX	exchange_wallet
py5jDEUAynTufQHM7P6Tu9M8NUd8JYux7aMcLXcC51q	Coinbase	exchange_wallet
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w	Gate.io	exchange_wallet
yYWjk6ycNwCPYAjqykJYYDK12geW9JBRi3RqZHu4Rmt	Luck.io	exchange_wallet
